a,b,l,x(0),delta,Bounding Iterations,a1,b1,l1,epsilon,Golden Section Iterations,final_a,final_b,final_l
-2.0,1.0,3.0,-2.0,0.01,8,-1.37,0.5500000000000002,1.92,0.001,16,-0.9604716096432264,-0.9596024154223176,0.0008691942209089197
-2.0,1.0,3.0,-1.8,0.01,7,-1.49,-0.5299999999999999,0.96,0.001,16,-0.9602581941305619,-0.9598235970201076,0.00043459711045445987
-2.0,1.0,3.0,-1.6,0.01,7,-1.29,-0.33,0.96,0.001,16,-0.960239369456779,-0.9598047723463246,0.00043459711045445987
-2.0,1.0,3.0,-1.4,0.01,6,-1.2499999999999998,-0.7699999999999998,0.48,0.001,16,-0.9602198585470941,-0.9600025599918668,0.00021729855522734096
-2.0,1.0,3.0,-1.2,0.01,6,-1.0499999999999998,-0.5699999999999998,0.48,0.001,16,-0.9602505457938084,-0.9600332472385812,0.00021729855522723002
-2.0,1.0,3.0,-1.0,0.01,3,-0.99,-0.93,0.06000000000000005,0.001,16,-0.960165386236313,-0.9601382239169096,2.716231940347313e-05
-2.0,1.0,3.0,-0.8,0.01,5,-0.8700000000000001,-1.11,-0.24,0.001,16,-0.9601112693775528,-0.9602199186551664,-0.00010864927761355948
-2.0,1.0,3.0,-0.6,0.01,6,-0.75,-1.23,-0.48,0.001,16,-0.9600057571377144,-0.9602230556929418,-0.00021729855522723002
-2.0,1.0,3.0,-1.4,0.01,6,-1.2499999999999998,-0.7699999999999998,0.48,0.0001,21,-0.9601564515262596,-0.9601368631149654,1.9588411294124693e-05
-2.0,1.0,3.0,-1.4,0.01,6,-1.2499999999999998,-0.7699999999999998,0.48,1e-05,25,-0.9601518275239256,-0.9601489702418644,2.8572820612859932e-06
-2.0,1.0,3.0,-1.4,0.01,6,-1.2499999999999998,-0.7699999999999998,0.48,0.01,11,-0.9611405883724624,-0.9587300477015136,0.002410540670948702
-2.0,1.0,3.0,-1.6,0.1,4,-1.3,-0.09999999999999998,1.2000000000000002,0.001,16,-0.9605068785603192,-0.9599636321722513,0.0005432463880679084
-2.0,1.0,3.0,-1.6,0.05,5,-1.25,-0.04999999999999993,1.2000000000000002,0.001,16,-0.9603789826180003,-0.9598357362299323,0.0005432463880679084
-2.0,1.0,3.0,-1.6,0.005,8,-1.2850000000000001,-0.32500000000000007,0.9600000000000001,0.001,16,-0.9603312841050498,-0.9598966869945955,0.0004345971104542379
-2.0,1.0,3.0,-1.6,0.001,10,-1.3450000000000002,-0.5770000000000002,0.768,0.001,16,-0.9603561547105415,-0.960008477022178,0.00034767768836352353
