Trial,Initial Point (x0),Final Point (x*),Function Value f(x*),No. of Fn. Eval
1,"(-2.000, 0.000, 2.000)","(0.976, 0.949, 0.901)",0.005,2128
2,"(-1.000, 1.000, 0.000)","(-0.758, 0.585, 0.346)",3.276,234
3,"(1.020, 1.050, 0.980)","(1.001, 1.002, 1.004)",0.000,193
4,"(1.500, 1.500, 0.500)","(0.953, 0.909, 0.825)",0.011,228
5,"(-0.700, 0.500, 0.300)","(-0.092, -0.005, 0.009)",2.232,2770
6,"(-0.800, 0.600, 0.100)","(-0.372, 0.121, 0.024)",2.697,2478
7,"(-2.000, 0.600, 2.000)","(1.106, 1.224, 1.499)",0.062,312
8,"(-2.000, -2.000, -2.000)","(0.954, 0.908, 0.819)",0.014,1593
9,"(-2.000, -2.000, 1.000)","(0.392, 0.136, -0.016)",1.268,631
10,"(-2.000, 1.000, 1.000)","(-1.127, 1.280, 1.644)",4.616,388
11,"(1.000, 1.000, 1.000)","(1.000, 1.000, 1.000)",0.000,59
